passage_id,book,passage,moral_keyword_count
fahrenheit_000,fahrenheit,"Do you hate me for this electronic cowardice of mine? Here I am sending you out into the night, while I stay behind the lines with my damned ears listening for you to get your head chopped off.” “We all do what we do,” said Montag. He put the Bible in the old man's hands. I'll chance turning in a substitute. Tomorrow —” “I'll see the unemployed printer, yes; that much I can do.” “Good night, Professor.” “Not good night. I'll be with you the rest of the night, a vinegar gnat tickling your ear when you need me. But good night and good luck, anyway.” The door opened and shut. Montag was in the dark street again, looking at the world. You could feel the war getting ready in the sky that night.",2
fahrenheit_001,fahrenheit,"“Come on, let's be cheery, you turn the 'family' on, now. Let's laugh and be happy, now, stop crying, we'll have a party!” “No,” said Mrs. You want to visit my house and 'family,' well and good. But I won't come in this fireman's crazy house again in my lifetime!” “Go home.” Montag fixed his eyes upon her, quietly. “Go home and think of your first husband divorced and your second husband killed in a jet and your third husband blowing his brains out, go home and think of the dozen abortions you've had, go home and think of that and your damn Caesarian sections, too, and your children who hate your guts! Go home and think how it all happened and what did you ever do to stop it? Go home, go home!” he yelled.",2
fahrenheit_002,fahrenheit,"They see only the blaze, the pretty fire, as you saw it.” “Montag, old men who stay at home, afraid, tending their peanut-brittle bones, have no right to criticize. Yet you almost killed things at the start. I must admit that your blind raging invigorated me. But now — I want you to feel old, I want a little of my cowardice to be distilled in you tonight. The next few hours, when you see Captain Beatty, tiptoe round him, let me hear him for you, let me feel the situation out. Forget the poor, silly women…” “I made them unhappier than they have been in years, I think,” said Montag. “It shocked me to see Mrs. Maybe they're right, maybe it's best not to face things, to run, have fun. I feel guilty —” “No, you mustn't!",2
fahrenheit_003,fahrenheit,"“Grandfather's been dead for all these years, but if you lifted my skull, by God, in the convolutions of my brain you'd find the big ridges of his thumbprint. As I said earlier, he was a sculptor. 'I hate a Roman named Status Quo!' he said to me. 'Stuff your eyes with wonder,' he said, 'live as if you'd drop dead in ten seconds. It's more fantastic than any dream made or paid for in factories. Ask no guarantees, ask for no security, there never was such an animal. And if there were, it would be related to the great sloth which hangs upside down in a tree all day every day, sleeping its life away. To hell with that,' he said, 'shake the tree and knock the great sloth down on his ass.'” “Look!” cried Montag. And the war began and ended in that instant.",2
fahrenheit_004,fahrenheit,"PART ONE: The Hearth and the Salamander. It was a pleasure to burn. It was a special pleasure to see things eaten, to see things blackened and changed. With the brass nozzle in his fists, with this great python spitting its venomous kerosene upon the world, the blood pounded in his head, and his hands were the hands of some amazing conductor playing all the symphonies of blazing and burning to bring down the tatters and charcoal ruins of history. With his symbolic helmet numbered 451 on his stolid head, and his eyes all orange flame with the thought of what came next, he flicked the igniter and the house jumped up in a gorging fire that burned the evening sky red and yellow and black. He strode in a swarm of fireflies.",1
fahrenheit_005,fahrenheit,"Her face, turned to him now, was fragile milk crystal with a soft and constant light in it. It was not the hysterical light of electricity but — what? But the strangely comfortable and rare and gently flattering light of the candle. One time, when he was a child, in a power-failure, his mother had found and lit a last candle and there had been a brief hour of rediscovery, of such illumination that space lost its vast dimensions and drew comfortably around them, and they, mother and son, alone, transformed, hoping that the power might not come on again too soon… And then Clarisse McClellan said: “Do you mind if I ask? How long have you worked at being a fireman?” “Since I was twenty, ten years ago.” “Do you ever read any of the books you burn?” He laughed.",1
fahrenheit_006,fahrenheit,"He glanced back at the wall. How like a mirror, too, her face. Impossible: for how many people did you know that refracted your own light to you? People were more often — he searched for a simile, found one in his work — torches, blazing away until they whiffed out. How rarely did other people's faces take of you and throw back to you your own expression, your own innermost trembling thought? What incredible power of identification the girl had; she was like the eager watcher of a marionette show, anticipating each flicker of an eyelid, each gesture of his hand, each flick of a finger, the moment before it began. How long had they walked together? Yet how large that time seemed now. How immense a figure she was on the stage before him; what a shadow she threw on the wall with her slender body!",1
fahrenheit_007,fahrenheit,"The impersonal operator of the machine could, by wearing a special optical helmet, gaze into the soul of the person whom he was pumping out. He saw but did not see what the Eye saw. The entire operation was not unlike the digging of a trench in one's yard. The woman on the bed was no more than a hard stratum of marble they had reached. Go on, anyway, shove the bore down, slush up the emptiness, if such a thing could be brought out in the throb of the suction snake. The operator stood smoking a cigarette. The other machine was working too. The other machine was operated by an equally impersonal fellow in non-stainable reddish-brown overalls. This machine pumped all of the blood from the body and replaced it with fresh blood and serum.",1
fahrenheit_008,fahrenheit,"“Got to clean 'em out both ways,” said the operator, standing over the silent woman. “No use getting the stomach if you don't clean the blood. Leave that stuff in the blood and the blood hits the brain like a mallet, bang, a couple of thousand times and the brain just gives up, just quits.” “Stop it!” said Montag. “I was just sayin',” said the operator. They shut the machines up tight. “We're done.” His anger did not even touch them. They stood with the cigarette smoke curling around their noses and into their eyes without making them blink or squint. “That's fifty bucks.” “First, why don't you tell me if she'll be all right?” “Sure, she'll be O.K. We got all the mean stuff right in our suitcase here, it can't get at her now.",1
fahrenheit_009,fahrenheit,"Laughter blew across the moon-coloured lawn from the house of Clarisse and her father and mother and the uncle who smiled so quietly and so earnestly. Above all, their laughter was relaxed and hearty and not forced in any way, coming from the house that was so brightly lit this late at night while all the other houses were kept to themselves in darkness. Montag heard the voices talking, talking, talking, giving, talking, weaving, reweaving their hypnotic web. Montag moved out through the french windows and crossed the lawn, without even thinking of it. He stood outside the talking house in the shadows, thinking he might even tap on their door and whisper, “Let me come in.",1
fahrenheit_010,fahrenheit,"She looked up suddenly, saw him, and nodded. She was an expert at lip-reading from ten years of apprenticeship at Seashell ear-thimbles. She set the toaster clicking away at another piece of bread. His wife said, “I don't know why I should be so hungry.” “You —?” “I'm hungry.” “Last night,” he began. I can't figure it.” “Last night —” he said again. “What about last night?” “Don't you remember?” “What? Did we have a wild party or something? Who was here?” “A few people,” he said. “That's what I thought.” She chewed her toast. “Sore stomach, but I'm hungry as all-get-out. Hope I didn't do anything foolish at the party.” “No,” he said, quietly. The toaster spidered out a piece of buttered bread for him. He held it in his hand, feeling grateful. “You don't look so hot yourself,” said his wife.",1
fahrenheit_011,fahrenheit,"It makes me cold.” “It doesn't think anything we don't want it to think.” “That's sad,” said Montag, quietly, “because all we put into it is hunting and finding and killing. What a shame if that's all it can ever know.”' Beatty snorted, gently. It's a fine bit of craftsmanship, a good rifle that can fetch its own target and guarantees the bull's-eye every time.” “That's why,” said Montag. ""I wouldn't want to be its next victim. You got a guilty conscience about something?” Montag glanced up swiftly. Beatty stood there looking at him steadily with his eyes, while his mouth opened and began to laugh, very softly. One two three four five six seven days. And as many times he came out of the house and Clarisse was there somewhere in the world.",1
fahrenheit_012,fahrenheit,"Had he ever seen a fireman that didn't have black hair, black brows, a fiery face, and a blue-steel shaved but unshaved look? These men were all mirror-images of himself! Were all firemen picked then for their looks as well as their proclivities? The colour of cinders and ash about them, and the continual smell of burning from their pipes. Captain Beatty there, rising in thunderheads of tobacco smoke. Beatty opening a fresh tobacco packet, crumpling the cellophane into a sound of fire. Montag looked at the cards in his own hands. About the man whose library we fixed. What happened to him?” “They took him screaming off to the asylum.” “He wasn't insane.” Beatty arranged his cards quietly. “Any man's insane who thinks he can fool the Government and us.” “I've tried to imagine,” said Montag, “just how it would feel.",1
fahrenheit_013,fahrenheit,"I mean to have firemen burn our houses and our books.” “We haven't any books.” “But if we did have some.” “You got some?” Beatty blinked slowly. “No.” Montag gazed beyond them to the wall with the typed lists of a million forbidden books. Their names leapt in fire, burning down the years under his axe and his hose which sprayed not water but kerosene. “No.” But in his mind, a cool wind started up and blew out of the ventilator grille at home, softly, softly, chilling his face. And, again, he saw himself in a green park talking to an old man, a very old man, and the wind from the park was cold, too. Montag hesitated, “Was — was it always like this? I mean, well, once upon a time…” “Once upon a time!” Beatty said.",1
fahrenheit_014,fahrenheit,"For it would be the dying of an unknown, a street face, a newspaper image, and it was suddenly so very wrong that he had begun to cry, not at death but at the thought of not crying at death, a silly empty man near a silly empty woman, while the hungry snake made her still more empty. How do you get so empty? Who takes it out of you? And that awful flower the other day, the dandelion! It had summed up everything, hadn't it? You're not in love with anyone!” And why not? Well, wasn't there a wall between him and Mildred, when you came down to it? Literally not just one, wall but, so far, three!",1
fahrenheit_015,fahrenheit,"Her fingers were tracing the book's outline and as the shape became familiar her face looked surprised and then stunned. Her mouth opened to ask a question… “Empty the theatres save for clowns and furnish the rooms with glass walls and pretty colours running up and down the walls like confetti or blood or sherry or sauterne. You like baseball, don't you, Montag?” “Baseball's a fine game.” Now Beatty was almost invisible, a voice somewhere behind a screen of smoke “What's this?” asked Mildred, almost with delight. Montag heaved back against her arms. “What's this here?” “Sit down!” Montag shouted. She jumped away, her hands empty. “We're talking!” Beatty went on as if nothing had happened. “You like bowling, don't you, Montag?” “Bowling, yes.” “And golf?” “Golf is a fine game.” “Basketball?” “A fine game.” “Billiards, pool?",1
fahrenheit_016,fahrenheit,"The people in this book, this play, this TV serial are not meant to represent any actual painters, cartographers, mechanics anywhere. The bigger your market, Montag, the less you handle controversy, remember that! All the minor minor minorities with their navels to be kept clean. Authors, full of evil thoughts, lock up your typewriters. Magazines became a nice blend of vanilla tapioca. Books, so the damned snobbish critics said, were dishwater. No wonder books stopped selling, the critics said. But the public, knowing what it wanted, spinning happily, let the comic books survive. And the three-dimensional sex-magazines, of course. It didn't come from the Government down. There was no dictum, no declaration, no censorship, to start with, no! Technology, mass exploitation, and minority pressure carried the trick, thank God.",1
fahrenheit_017,fahrenheit,"And you must admit our culture provides plenty of these.” “Yes.” Montag could lip-read what Mildred was saying in the doorway. He tried not to look at her mouth, because then Beatty might turn and read what was there, too. “Coloured people don't like Little Black Sambo. White people don't feel good about Uncle Tom's Cabin. Someone's written a book on tobacco and cancer of the lungs? Five minutes after a person is dead he's on his way to the Big Flue, the Incinerators serviced by helicopters all over the country. Ten minutes after death a man's a speck of black dust. Let's not quibble over individuals with memoriams. Fire is bright and fire is clean.” The fireworks died in the parlour behind Mildred. She had stopped talking at the same time; a miraculous coincidence. “There was a girl next door,” he said, slowly. “She's gone now, I think, dead.",1
fahrenheit_018,fahrenheit,"The poor girl's better off dead.” “Yes, dead.” “Luckily, queer ones like her don't happen, often. We know how to nip most of them in the bud, early. You can't build a house without nails and wood. If you don't want a house built, hide the nails and wood. If you don't want a man unhappy politically, don't give him two sides to a question to worry him; give him one. Let him forget there is such a thing as war. If the Government is inefficient, top-heavy, and tax-mad, better it be all those than that people worry over it. Give the people contests they win by remembering the words to more popular songs or the names of state capitals or how much corn Iowa grew last year. Cram them full of non-combustible data, chock them so damned full of 'facts' they feel stuffed, but absolutely 'brilliant' with information.",1
fahrenheit_019,fahrenheit,"He crouched and then he sat and the voice of the front door spoke again, more insistently. Montag picked a single small volume from the floor. “Where do we begin?” He opened the book half-way and peered at it. “We begin by beginning, I guess.” “He'll come in,” said Mildred, “and burn us and the books!” The front door voice faded at last. Montag felt the presence of someone beyond the door, waiting, listening. Then the footsteps going away down the walk and over the lawn. “Let's see what this is,” said Montag. He spoke the words haltingly and with a terrible selfconsciousness. He read a dozen pages here and there and came at last to this: “'It is computed that eleven thousand persons have at several times suffered death rather than submit to break eggs at the smaller end.”' Mildred sat across the hall from him.",1
fahrenheit_020,fahrenheit,"Would you like to go and check their file? Maybe you'd look under Guy Montag or maybe under Fear or War. Would you like to go to that house that burnt last night? And rake ashes for the bones of the woman who set fire to her own house! What about Clarisse McClellan, where do we look for her? Listen!” The bombers crossed the sky and crossed the sky over the house, gasping, murmuring, whistling like an immense, invisible fan, circling in emptiness. “Every hour so many damn things in the sky! How in hell did those bombers get up there every single second of our lives! Why doesn't someone want to talk about it? We've started and won two atomic wars since 1960. Is it because we're having so much fun at home we've forgotten the world?",1
fahrenheit_021,fahrenheit,"It was a strange quiet meeting. The old man admitted to being a retired English professor who had been thrown out upon the world forty years ago when the last liberal arts college shut for lack of students and patronage. His name was Faber, and when he finally lost his fear of Montag, he talked in a cadenced voice, looking at the sky and the trees and the green park, and when an hour had passed he said something to Montag and Montag sensed it was a rhymeless poem. Then the old man grew even more courageous and said something else and that was a poem, too. Faber held his hand over his left coat-pocket and spoke these words gently, and Montag knew if he reached out, he might pull a book of poetry from the man's coat. But he did not reach out.",1
fahrenheit_022,fahrenheit,"He's a regular peppermint stick now, all sugar-crystal and saccharine when he isn't making veiled references to certain commercial products that every worshipper absolutely needs.” Faber sniffed the book. “Do you know that books smell like nutmeg or some spice from a foreign land? I loved to smell them when I was a boy. Lord, there were a lot of lovely books once, before we let them go.” Faber turned the pages. Montag, you are looking at a coward. I saw the way things were going, a long time back. I'm one of the innocents who could have spoken up and out when no one would listen to the 'guilty,' but I did not speak and thus became guilty myself.",1
fahrenheit_023,fahrenheit,"You and I and who else will set the fires?” “Aren't there professors like yourself, former writers, historians, linguists…?” “Dead or ancient.” “The older the better; they'll go unnoticed. You know dozens, admit it!” “Oh, there are many actors alone who haven't acted Pirandello or Shaw or Shakespeare for years because their plays are too aware of the world. And we could use the honest rage of those historians who haven't written a line for forty years. True, we might form classes in thinking and reading.” “Yes!” “But that would just nibble the edges. The skeleton needs melting and re-shaping. Good God, it isn't as simple as just picking up a book you laid down half a century ago. Remember, the firemen are rarely necessary. The public itself stopped reading of its own accord.",1
fahrenheit_024,fahrenheit,"You firemen provide a circus now and then at which buildings are set off and crowds gather for the pretty blaze, but it's a small sideshow indeed, and hardly necessary to keep things in line. So few want to be rebels any more. And out of those few, most, like myself, scare easily. Can you dance faster than the White Clown, shout louder than 'Mr. If you can, you'll win your way, Montag. In any event, you're a fool. People are having fun —” “Committing suicide! Murdering!” A bomber flight had been moving east all the time they talked, and only now did the two men stop and listen, feeling the great jet sound tremble inside themselves. Let the war turn off the 'families.' Our civilization is flinging itself to pieces. Stand back from the centrifuge.” “There has to be someone ready when it blows up.” “What?",1
fahrenheit_025,fahrenheit,"That was the year I came to class at the start of the new semester and found only one student to sign up for Drama from Aeschylus to O'Neill. How like a beautiful statue of ice it was, melting in the sun. I remember the newspapers dying like huge moths. And the Government, seeing how advantageous it was to have people reading only about passionate lips and the fist in the stomach, circled the situation with your fire-eaters. So, Montag, there's this unemployed printer. We might start a few books, and wait on the war to break the pattern and give us the push we need. A few bombs and the 'families' in the walls of all the houses, like harlequin rats, will shut up! In silence, our stage-whisper might carry.” They both stood looking at the book on the table. “I've tried to remember,” said Montag.",1
fahrenheit_026,fahrenheit,"“Well?” The old man took a deep breath, held it, and let it out. He took another, eyes closed, his mouth tight, and at last exhaled. “Montag…” The old man turned at last and said, “Come along. I would actually have let you walk right out of my house. I am a cowardly old fool.” Faber opened the bedroom door and led Montag into a small chamber where stood a table upon which a number of metal tools lay among a welter of microscopic wire-hairs, tiny coils, bobbins, and crystals. I've lived alone so many years, throwing images on walls with my imagination. Fiddling with electronics, radio-transmission, has been my hobby. My cowardice is of such a passion, complementing the revolutionary spirit that lives in its shadow, I was forced to design this.” He picked up a small green-metal object no larger than a 22 bullet.",1
fahrenheit_027,fahrenheit,"The way the clouds moved aside and came back, and the way the stars looked, a million of them swimming between the clouds, like the enemy discs, and the feeling that the sky might fall upon the city and turn it to chalk dust, and the moon go up in red fire; that was how the night felt. Montag walked from the subway with the money in his pocket (he had visited the bank which was open all night and every night with robot tellers in attendance) and as he walked he was listening to the Seashell radio in one car…? We have mobilized a million men. Quick victory is ours if the war comes…"" Music flooded over the voice quickly and it was gone. “Ten million men mobilized,” Faber's voice whispered in his other ear. It's happier.” “Faber?” “Yes?” “I'm not thinking.",1
fahrenheit_028,fahrenheit,"A minute later, Three White Cartoon Clowns chopped off each other's limbs to the accompaniment of immense incoming tides of laughter. Two minutes more and the room whipped out of town to the jet cars wildly circling an arena, bashing and backing up and bashing each other again. Montag saw a number of bodies fly in the air. “Millie, did you see that?” “I saw it, I saw it!” Montag reached inside the parlour wall and pulled the main switch. The images drained away, as if the water had been let out from a gigantic crystal bowl of hysterical fish. The three women turned slowly and looked with unconcealed irritation and then dislike at Montag. “When do you suppose the war will start?” he said. “I notice your husbands aren't here tonight?” “Oh, they come and go, come and go,” said Mrs.",1
fahrenheit_029,fahrenheit,"“In again out again Finnegan, the Army called Pete yesterday. Forty-eight hours they said, and everyone home. Pete was called yesterday and they said he'd be, back next week. Quick…” The three women fidgeted and looked nervously at the empty mud-coloured walls. “I'll let Pete do all the worrying.” She giggled. “I'll let old Pete do all the worrying. I'm not worried.” “Yes,” said Millie. “Let old Pete do the worrying.” “It's always someone else's husband dies, they say.” “I've heard that, too. I've never known any dead man killed in a war. Killed jumping off buildings, yes, like Gloria's husband last week, but from wars? No.” “Not from wars,” said Mrs. “Anyway, Pete and I always said, no tears, nothing like that. It's our third marriage each and we're independent.",1
fahrenheit_030,fahrenheit,"He said, if I get killed off, you just go right ahead and don't cry, but get married again, and don't think of me.” “That reminds me,” said Mildred. “Did you see that Clara Dove five-minute romance last night in your wall? Well, it was all about this woman who —” Montag said nothing but stood looking at the women's faces as he had once looked at the faces of saints in a strange church he had entered when he was a child.",1
